06.14.12.42.27.243	 Left: -1.0 Right: 1.0
06.14.12.42.27.494	 Left: -1.0 Right: 1.0
06.14.12.42.27.744	 Left: -1.0 Right: 4.0
06.14.12.42.27.995	 Left: -1.0 Right: 4.0
06.14.12.42.28.245	 Left: -1.0 Right: 4.0
06.14.12.42.28.496	 Left: -1.0 Right: 4.0
06.14.12.42.28.747	 Left: -1.0 Right: 4.0
06.14.12.42.28.997	 Left: -1.0 Right: 4.0
06.14.12.42.29.247	 Left: -1.0 Right: 4.0
06.14.12.42.29.498	 Left: -1.0 Right: 0.0
06.14.12.42.29.749	 Left: -1.0 Right: 1.0
06.14.12.42.29.999	 Left: -1.0 Right: 1.0
06.14.12.42.30.251	 Left: -1.0 Right: 1.0
06.14.12.42.30.502	 Left: -1.0 Right: 1.0
06.14.12.42.30.753	 Left: -1.0 Right: 1.0
06.14.12.42.31.003	 Left: -1.0 Right: 1.0
06.14.12.42.31.254	 Left: -1.0 Right: 1.0
06.14.12.42.31.505	 Left: -1.0 Right: 1.0
06.14.12.42.31.756	 Left: -1.0 Right: 1.0
06.14.12.42.32.007	 Left: -1.0 Right: 1.0
06.14.12.42.32.258	 Left: -1.0 Right: 1.0
06.14.12.42.32.509	 Left: -1.0 Right: 1.0
06.14.12.42.32.759	 Left: -1.0 Right: 1.0
06.14.12.42.33.010	 Left: -1.0 Right: 1.0
06.14.12.42.33.261	 Left: -1.0 Right: 4.0
06.14.12.42.33.511	 Left: -1.0 Right: 4.0
06.14.12.42.33.762	 Left: -1.0 Right: 4.0
06.14.12.42.34.013	 Left: -1.0 Right: 0.0
06.14.12.42.34.263	 Left: -1.0 Right: 1.0
06.14.12.42.34.514	 Left: -1.0 Right: 1.0
06.14.12.42.34.765	 Left: -1.0 Right: 1.0
06.14.12.42.35.015	 Left: -1.0 Right: 1.0
06.14.12.42.35.265	 Left: -1.0 Right: 1.0
06.14.12.42.35.516	 Left: -1.0 Right: 1.0
06.14.12.42.35.767	 Left: -1.0 Right: 1.0
06.14.12.42.36.018	 Left: -1.0 Right: 1.0
06.14.12.42.36.269	 Left: -1.0 Right: 1.0
06.14.12.42.36.519	 Left: -1.0 Right: 1.0
06.14.12.42.36.770	 Left: -1.0 Right: 1.0
06.14.12.42.37.021	 Left: -1.0 Right: 1.0
06.14.12.42.37.272	 Left: -1.0 Right: 1.0
06.14.12.42.37.523	 Left: -1.0 Right: 1.0
06.14.12.42.37.773	 Left: -1.0 Right: 1.0
06.14.12.42.38.025	 Left: -1.0 Right: 1.0
06.14.12.42.38.276	 Left: -1.0 Right: 1.0
06.14.12.42.38.526	 Left: -1.0 Right: 1.0
06.14.12.42.38.777	 Left: -1.0 Right: 1.0
06.14.12.42.39.028	 Left: -1.0 Right: 1.0
06.14.12.42.39.279	 Left: -1.0 Right: 1.0
06.14.12.42.39.529	 Left: -1.0 Right: 1.0
06.14.12.42.39.780	 Left: -1.0 Right: 1.0
06.14.12.42.40.032	 Left: -1.0 Right: 4.0
06.14.12.42.40.282	 Left: -1.0 Right: 4.0
06.14.12.42.40.533	 Left: -1.0 Right: 4.0
06.14.12.42.40.784	 Left: -1.0 Right: 4.0
06.14.12.42.41.036	 Left: -1.0 Right: 4.0
06.14.12.42.41.286	 Left: -1.0 Right: 0.0
06.14.12.42.41.536	 Left: -1.0 Right: 1.0
06.14.12.42.41.787	 Left: -1.0 Right: 1.0
06.14.12.42.42.038	 Left: -1.0 Right: 1.0
06.14.12.42.42.289	 Left: -1.0 Right: 1.0
06.14.12.42.42.539	 Left: -1.0 Right: 1.0
06.14.12.42.42.790	 Left: -1.0 Right: 1.0
06.14.12.42.43.041	 Left: -1.0 Right: 1.0
06.14.12.42.43.291	 Left: -1.0 Right: 1.0
06.14.12.42.43.542	 Left: -1.0 Right: 1.0
06.14.12.42.43.792	 Left: -1.0 Right: 1.0
06.14.12.42.44.043	 Left: -1.0 Right: 1.0
06.14.12.42.44.294	 Left: -1.0 Right: 1.0
06.14.12.42.44.544	 Left: -1.0 Right: 1.0
06.14.12.42.44.794	 Left: -1.0 Right: 1.0
06.14.12.42.45.045	 Left: -1.0 Right: 4.0
06.14.12.42.45.295	 Left: -1.0 Right: 4.0
06.14.12.42.45.546	 Left: -1.0 Right: 4.0
06.14.12.42.45.797	 Left: -1.0 Right: 4.0
06.14.12.42.46.048	 Left: -1.0 Right: 0.0
06.14.12.42.46.299	 Left: -1.0 Right: 1.0
06.14.12.42.46.550	 Left: -1.0 Right: 1.0
06.14.12.42.46.801	 Left: -1.0 Right: 1.0
06.14.12.42.47.051	 Left: -1.0 Right: 1.0
06.14.12.42.47.302	 Left: -1.0 Right: 1.0
06.14.12.42.47.553	 Left: -1.0 Right: 1.0
06.14.12.42.47.803	 Left: -1.0 Right: 1.0
06.14.12.42.48.054	 Left: -1.0 Right: 1.0
06.14.12.42.48.305	 Left: -1.0 Right: 1.0
06.14.12.42.48.555	 Left: -1.0 Right: 1.0
06.14.12.42.48.805	 Left: -1.0 Right: 4.0
06.14.12.42.49.056	 Left: -1.0 Right: 4.0
06.14.12.42.49.307	 Left: -1.0 Right: 4.0
06.14.12.42.49.557	 Left: -1.0 Right: 4.0
06.14.12.42.49.807	 Left: -1.0 Right: 0.0
06.14.12.42.50.058	 Left: -1.0 Right: 3.0
06.14.12.42.50.310	 Left: -1.0 Right: 3.0
06.14.12.42.50.560	 Left: -1.0 Right: 3.0
06.14.12.42.50.812	 Left: -1.0 Right: 3.0
06.14.12.42.51.062	 Left: -1.0 Right: 1.0
06.14.12.42.51.312	 Left: -1.0 Right: 1.0
06.14.12.42.51.563	 Left: -1.0 Right: 1.0
06.14.12.42.51.813	 Left: -1.0 Right: 1.0
06.14.12.42.52.064	 Left: -1.0 Right: 1.0
06.14.12.42.52.314	 Left: -1.0 Right: 1.0
06.14.12.42.52.564	 Left: -1.0 Right: 1.0
06.14.12.42.52.815	 Left: -1.0 Right: 1.0
06.14.12.42.53.066	 Left: -1.0 Right: 1.0
06.14.12.42.53.317	 Left: -1.0 Right: 1.0
06.14.12.42.53.567	 Left: -1.0 Right: 0.0
06.14.12.42.53.817	 Left: -1.0 Right: 0.0
06.14.12.42.54.067	 Left: -1.0 Right: 0.0
06.14.12.42.54.318	 Left: -1.0 Right: 0.0
06.14.12.42.54.569	 Left: -1.0 Right: 0.0
06.14.12.42.54.819	 Left: -1.0 Right: 1.0
06.14.12.42.55.070	 Left: -1.0 Right: 1.0
06.14.12.42.55.321	 Left: -1.0 Right: 1.0
06.14.12.42.55.571	 Left: -1.0 Right: 1.0
06.14.12.42.55.822	 Left: -1.0 Right: 1.0
06.14.12.42.56.072	 Left: -1.0 Right: 1.0
06.14.12.42.56.322	 Left: -1.0 Right: 1.0
06.14.12.42.56.573	 Left: -1.0 Right: 1.0
06.14.12.42.56.825	 Left: -1.0 Right: 1.0
06.14.12.42.57.075	 Left: -1.0 Right: 1.0
06.14.12.42.57.326	 Left: -1.0 Right: 1.0
06.14.12.42.57.576	 Left: -1.0 Right: 1.0
06.14.12.42.57.827	 Left: -1.0 Right: 1.0
06.14.12.42.58.077	 Left: -1.0 Right: 1.0
06.14.12.42.58.327	 Left: -1.0 Right: 1.0
06.14.12.42.58.578	 Left: -1.0 Right: 1.0
06.14.12.42.58.828	 Left: -1.0 Right: 1.0
06.14.12.42.59.079	 Left: -1.0 Right: 1.0
06.14.12.42.59.330	 Left: -1.0 Right: 1.0
06.14.12.42.59.580	 Left: -1.0 Right: 1.0
06.14.12.42.59.831	 Left: -1.0 Right: 1.0
06.14.12.43.00.081	 Left: -1.0 Right: 1.0
06.14.12.43.00.332	 Left: -1.0 Right: 1.0
06.14.12.43.00.582	 Left: -1.0 Right: 1.0
06.14.12.43.00.833	 Left: -1.0 Right: 1.0
06.14.12.43.01.083	 Left: -1.0 Right: 1.0
06.14.12.43.01.333	 Left: -1.0 Right: 1.0
06.14.12.43.01.584	 Left: -1.0 Right: 1.0
06.14.12.43.01.835	 Left: -1.0 Right: 0.0
06.14.12.43.02.084	 Left: -1.0 Right: 4.0
06.14.12.43.02.335	 Left: -1.0 Right: 4.0
06.14.12.43.02.586	 Left: -1.0 Right: 4.0
06.14.12.43.02.837	 Left: -1.0 Right: 4.0
06.14.12.43.03.088	 Left: -1.0 Right: 4.0
06.14.12.43.03.338	 Left: -1.0 Right: 4.0
06.14.12.43.03.589	 Left: -1.0 Right: 3.0
06.14.12.43.03.839	 Left: -1.0 Right: 3.0
06.14.12.43.04.090	 Left: -1.0 Right: 3.0
06.14.12.43.04.341	 Left: -1.0 Right: 3.0
06.14.12.43.04.592	 Left: -1.0 Right: 3.0
06.14.12.43.04.843	 Left: -1.0 Right: 0.0
06.14.12.43.05.093	 Left: -1.0 Right: 0.0
06.14.12.43.05.343	 Left: -1.0 Right: 0.0
06.14.12.43.05.594	 Left: -1.0 Right: 4.0
06.14.12.43.05.845	 Left: -1.0 Right: 1.0
06.14.12.43.06.096	 Left: -1.0 Right: 1.0
06.14.12.43.06.346	 Left: -1.0 Right: 1.0
06.14.12.43.06.596	 Left: -1.0 Right: 1.0
06.14.12.43.06.847	 Left: -1.0 Right: 1.0
06.14.12.43.07.097	 Left: -1.0 Right: 1.0
06.14.12.43.07.348	 Left: -1.0 Right: 1.0
06.14.12.43.07.598	 Left: -1.0 Right: 1.0
06.14.12.43.07.848	 Left: -1.0 Right: 1.0
06.14.12.43.08.099	 Left: -1.0 Right: 1.0
06.14.12.43.08.348	 Left: -1.0 Right: 1.0
06.14.12.43.08.599	 Left: -1.0 Right: 1.0
06.14.12.43.08.849	 Left: -1.0 Right: 1.0
06.14.12.43.09.099	 Left: -1.0 Right: 1.0
06.14.12.43.09.350	 Left: -1.0 Right: 1.0
06.14.12.43.09.600	 Left: -1.0 Right: 1.0
06.14.12.43.09.851	 Left: -1.0 Right: 1.0
06.14.12.43.10.102	 Left: -1.0 Right: 1.0
06.14.12.43.10.352	 Left: -1.0 Right: 1.0
06.14.12.43.10.603	 Left: -1.0 Right: 1.0
06.14.12.43.10.853	 Left: -1.0 Right: 1.0
06.14.12.43.11.104	 Left: -1.0 Right: 1.0
06.14.12.43.11.354	 Left: -1.0 Right: 1.0
06.14.12.43.11.605	 Left: -1.0 Right: 1.0
06.14.12.43.11.855	 Left: 1.0 Right: 1.0
06.14.12.43.12.105	 Left: 1.0 Right: 1.0
06.14.12.43.12.356	 Left: 1.0 Right: 1.0
06.14.12.43.12.607	 Left: 1.0 Right: 1.0
06.14.12.43.12.858	 Left: 1.0 Right: 1.0
06.14.12.43.13.109	 Left: 1.0 Right: 1.0
06.14.12.43.13.360	 Left: 1.0 Right: 1.0
06.14.12.43.13.610	 Left: 1.0 Right: 1.0
06.14.12.43.13.862	 Left: 1.0 Right: 1.0
06.14.12.43.14.112	 Left: 1.0 Right: 1.0
06.14.12.43.14.363	 Left: 1.0 Right: 1.0
06.14.12.43.14.614	 Left: 1.0 Right: 1.0
06.14.12.43.14.863	 Left: 1.0 Right: 1.0
06.14.12.43.15.114	 Left: 1.0 Right: 1.0
06.14.12.43.15.364	 Left: 1.0 Right: 1.0
06.14.12.43.15.614	 Left: 1.0 Right: 1.0
06.14.12.43.15.865	 Left: 1.0 Right: 1.0
06.14.12.43.16.117	 Left: 1.0 Right: 1.0
06.14.12.43.16.367	 Left: 1.0 Right: 4.0
06.14.12.43.16.617	 Left: 1.0 Right: 4.0
