06.10.15.14.45.464	 Left: -1.0 Right: 2.0
06.10.15.14.45.714	 Left: -1.0 Right: 2.0
06.10.15.14.45.965	 Left: -1.0 Right: 2.0
06.10.15.14.46.215	 Left: -1.0 Right: 0.0
06.10.15.14.46.466	 Left: -1.0 Right: 1.0
06.10.15.14.46.717	 Left: -1.0 Right: 1.0
06.10.15.14.46.967	 Left: -1.0 Right: 1.0
06.10.15.14.47.217	 Left: -1.0 Right: 1.0
06.10.15.14.47.468	 Left: -1.0 Right: 1.0
06.10.15.14.47.719	 Left: -1.0 Right: 1.0
06.10.15.14.47.969	 Left: -1.0 Right: 1.0
06.10.15.14.48.219	 Left: -1.0 Right: 1.0
06.10.15.14.48.469	 Left: -1.0 Right: 1.0
06.10.15.14.48.720	 Left: -1.0 Right: 1.0
06.10.15.14.48.970	 Left: -1.0 Right: 1.0
06.10.15.14.49.220	 Left: -1.0 Right: 1.0
06.10.15.14.49.471	 Left: -1.0 Right: 1.0
06.10.15.14.49.721	 Left: -1.0 Right: 1.0
06.10.15.14.49.971	 Left: -1.0 Right: 1.0
06.10.15.14.50.221	 Left: -1.0 Right: 1.0
06.10.15.14.50.472	 Left: -1.0 Right: 1.0
06.10.15.14.50.722	 Left: -1.0 Right: 1.0
06.10.15.14.50.972	 Left: -1.0 Right: 1.0
06.10.15.14.51.222	 Left: -1.0 Right: 1.0
06.10.15.14.51.473	 Left: -1.0 Right: 1.0
06.10.15.14.51.723	 Left: -1.0 Right: 1.0
06.10.15.14.51.973	 Left: -1.0 Right: 1.0
06.10.15.14.52.224	 Left: -1.0 Right: 1.0
06.10.15.14.52.474	 Left: -1.0 Right: 1.0
06.10.15.14.52.725	 Left: -1.0 Right: 1.0
06.10.15.14.52.975	 Left: -1.0 Right: 1.0
06.10.15.14.53.225	 Left: -1.0 Right: 1.0
06.10.15.14.53.475	 Left: -1.0 Right: 1.0
06.10.15.14.53.725	 Left: -1.0 Right: 1.0
06.10.15.14.53.976	 Left: -1.0 Right: 1.0
06.10.15.14.54.227	 Left: -1.0 Right: 1.0
06.10.15.14.54.478	 Left: -1.0 Right: 1.0
06.10.15.14.54.727	 Left: -1.0 Right: 1.0
06.10.15.14.54.978	 Left: -1.0 Right: 1.0
06.10.15.14.55.229	 Left: -1.0 Right: 1.0
06.10.15.14.55.479	 Left: -1.0 Right: 1.0
06.10.15.14.55.731	 Left: -1.0 Right: 1.0
06.10.15.14.55.981	 Left: -1.0 Right: 1.0
06.10.15.14.56.232	 Left: -1.0 Right: 1.0
06.10.15.14.56.482	 Left: -1.0 Right: 1.0
06.10.15.14.56.732	 Left: -1.0 Right: 1.0
06.10.15.14.56.983	 Left: -1.0 Right: 1.0
06.10.15.14.57.233	 Left: -1.0 Right: 1.0
06.10.15.14.57.483	 Left: -1.0 Right: 1.0
06.10.15.14.57.734	 Left: -1.0 Right: 1.0
06.10.15.14.57.984	 Left: -1.0 Right: 1.0
06.10.15.14.58.234	 Left: -1.0 Right: 1.0
06.10.15.14.58.484	 Left: -1.0 Right: 1.0
06.10.15.14.58.734	 Left: -1.0 Right: 1.0
06.10.15.14.58.985	 Left: -1.0 Right: 1.0
06.10.15.14.59.235	 Left: 2.0 Right: 4.0
06.10.15.14.59.485	 Left: 0.0 Right: 4.0
06.10.15.14.59.736	 Left: 1.0 Right: 4.0
06.10.15.14.59.986	 Left: 0.0 Right: 4.0
06.10.15.15.00.236	 Left: 0.0 Right: 4.0
06.10.15.15.00.487	 Left: 0.0 Right: 4.0
06.10.15.15.00.737	 Left: 0.0 Right: 0.0
06.10.15.15.00.988	 Left: 1.0 Right: 0.0
06.10.15.15.01.238	 Left: 1.0 Right: 1.0
06.10.15.15.01.488	 Left: 1.0 Right: 1.0
06.10.15.15.01.739	 Left: 0.0 Right: 1.0
06.10.15.15.01.989	 Left: 2.0 Right: 1.0
06.10.15.15.02.239	 Left: 2.0 Right: 1.0
06.10.15.15.02.489	 Left: -1.0 Right: 1.0
06.10.15.15.02.739	 Left: -1.0 Right: 1.0
06.10.15.15.02.989	 Left: 1.0 Right: 1.0
06.10.15.15.03.240	 Left: 2.0 Right: 1.0
06.10.15.15.03.491	 Left: 2.0 Right: 1.0
06.10.15.15.03.742	 Left: 2.0 Right: 1.0
06.10.15.15.03.992	 Left: 2.0 Right: 1.0
06.10.15.15.04.242	 Left: 2.0 Right: 1.0
06.10.15.15.04.493	 Left: 2.0 Right: 1.0
06.10.15.15.04.743	 Left: 2.0 Right: 1.0
06.10.15.15.04.993	 Left: 2.0 Right: 1.0
06.10.15.15.05.244	 Left: 2.0 Right: 1.0
06.10.15.15.05.494	 Left: 2.0 Right: 1.0
06.10.15.15.05.745	 Left: 2.0 Right: 1.0
