05.23.11.00.17.706	 Left: 1.0 Right: 3.0
05.23.11.00.17.957	 Left: 1.0 Right: 3.0
05.23.11.00.18.207	 Left: 1.0 Right: 3.0
05.23.11.00.18.457	 Left: 1.0 Right: 3.0
05.23.11.00.18.707	 Left: 1.0 Right: 3.0
05.23.11.00.18.958	 Left: 1.0 Right: 3.0
05.23.11.00.19.210	 Left: 1.0 Right: 3.0
05.23.11.00.19.460	 Left: 1.0 Right: 3.0
05.23.11.00.19.710	 Left: 1.0 Right: 3.0
05.23.11.00.19.961	 Left: 1.0 Right: 3.0
05.23.11.00.20.211	 Left: 1.0 Right: 3.0
05.23.11.00.20.461	 Left: 1.0 Right: 0.0
05.23.11.00.20.711	 Left: 1.0 Right: 0.0
05.23.11.00.20.962	 Left: 1.0 Right: 0.0
05.23.11.00.21.212	 Left: 1.0 Right: 0.0
05.23.11.00.21.462	 Left: 1.0 Right: 0.0
05.23.11.00.21.713	 Left: 1.0 Right: 3.0
05.23.11.00.21.963	 Left: 1.0 Right: 3.0
05.23.11.00.22.214	 Left: 1.0 Right: 1.0
05.23.11.00.22.464	 Left: 1.0 Right: 1.0
05.23.11.00.22.714	 Left: 1.0 Right: 1.0
05.23.11.00.22.964	 Left: 1.0 Right: 1.0
05.23.11.00.23.215	 Left: 1.0 Right: 1.0
05.23.11.00.23.465	 Left: 1.0 Right: 1.0
05.23.11.00.23.715	 Left: 1.0 Right: 1.0
05.23.11.00.23.965	 Left: 1.0 Right: 1.0
05.23.11.00.24.215	 Left: 1.0 Right: 1.0
05.23.11.00.24.467	 Left: 1.0 Right: 1.0
05.23.11.00.24.718	 Left: 1.0 Right: 1.0
05.23.11.00.24.968	 Left: 1.0 Right: 1.0
05.23.11.00.25.219	 Left: 1.0 Right: 1.0
05.23.11.00.25.469	 Left: 1.0 Right: 1.0
05.23.11.00.25.720	 Left: 1.0 Right: 1.0
05.23.11.00.25.970	 Left: 1.0 Right: 1.0
05.23.11.00.26.220	 Left: 1.0 Right: 1.0
05.23.11.00.26.470	 Left: 1.0 Right: 1.0
05.23.11.00.26.720	 Left: 0.0 Right: 1.0
05.23.11.00.26.971	 Left: 1.0 Right: 1.0
05.23.11.00.27.221	 Left: 1.0 Right: 1.0
05.23.11.00.27.471	 Left: 1.0 Right: 1.0
05.23.11.00.27.722	 Left: 1.0 Right: 1.0
05.23.11.00.27.972	 Left: 1.0 Right: 1.0
05.23.11.00.28.222	 Left: 1.0 Right: 1.0
05.23.11.00.28.473	 Left: 1.0 Right: 1.0
05.23.11.00.28.723	 Left: 1.0 Right: 1.0
05.23.11.00.28.974	 Left: 1.0 Right: 1.0
05.23.11.00.29.224	 Left: 1.0 Right: 1.0
05.23.11.00.29.474	 Left: 1.0 Right: 1.0
05.23.11.00.29.725	 Left: 1.0 Right: 1.0
05.23.11.00.29.975	 Left: 1.0 Right: 1.0
05.23.11.00.30.225	 Left: 1.0 Right: 1.0
05.23.11.00.30.476	 Left: 1.0 Right: 1.0
05.23.11.00.30.726	 Left: 1.0 Right: 1.0
05.23.11.00.30.976	 Left: 1.0 Right: 1.0
05.23.11.00.31.226	 Left: 1.0 Right: 1.0
05.23.11.00.31.477	 Left: 1.0 Right: 1.0
05.23.11.00.31.727	 Left: 1.0 Right: 1.0
05.23.11.00.31.977	 Left: 1.0 Right: 1.0
05.23.11.00.32.227	 Left: 1.0 Right: 1.0
05.23.11.00.32.478	 Left: 1.0 Right: 1.0
05.23.11.00.32.728	 Left: 1.0 Right: 1.0
05.23.11.00.32.978	 Left: 1.0 Right: 1.0
05.23.11.00.33.229	 Left: 1.0 Right: 1.0
05.23.11.00.33.479	 Left: 1.0 Right: 1.0
05.23.11.00.33.730	 Left: 1.0 Right: 1.0
05.23.11.00.33.980	 Left: 1.0 Right: 1.0
05.23.11.00.34.230	 Left: 1.0 Right: 1.0
05.23.11.00.34.481	 Left: 1.0 Right: 1.0
05.23.11.00.34.731	 Left: 1.0 Right: 1.0
05.23.11.00.34.981	 Left: 1.0 Right: 1.0
05.23.11.00.35.231	 Left: 1.0 Right: 1.0
05.23.11.00.35.482	 Left: 1.0 Right: 4.0
05.23.11.00.35.732	 Left: 1.0 Right: 4.0
05.23.11.00.35.982	 Left: 1.0 Right: 4.0
05.23.11.00.36.232	 Left: 1.0 Right: 4.0
05.23.11.00.36.482	 Left: 1.0 Right: 4.0
05.23.11.00.36.733	 Left: 1.0 Right: 4.0
05.23.11.00.36.983	 Left: 1.0 Right: 4.0
05.23.11.00.37.234	 Left: 1.0 Right: 3.0
05.23.11.00.37.484	 Left: 1.0 Right: 3.0
05.23.11.00.37.734	 Left: 1.0 Right: 3.0
05.23.11.00.37.984	 Left: 1.0 Right: 3.0
05.23.11.00.38.234	 Left: 1.0 Right: 3.0
05.23.11.00.38.485	 Left: 1.0 Right: 3.0
05.23.11.00.38.735	 Left: 1.0 Right: 3.0
05.23.11.00.38.985	 Left: 1.0 Right: 3.0
05.23.11.00.39.235	 Left: 1.0 Right: 3.0
05.23.11.00.39.486	 Left: 1.0 Right: 3.0
05.23.11.00.39.736	 Left: 1.0 Right: 3.0
05.23.11.00.39.986	 Left: 1.0 Right: 3.0
05.23.11.00.40.237	 Left: 1.0 Right: 3.0
05.23.11.00.40.487	 Left: 1.0 Right: 3.0
05.23.11.00.40.737	 Left: 1.0 Right: 3.0
05.23.11.00.40.987	 Left: 1.0 Right: 3.0
05.23.11.00.41.238	 Left: 1.0 Right: 3.0
05.23.11.00.41.488	 Left: 1.0 Right: 3.0
05.23.11.00.41.739	 Left: 1.0 Right: 3.0
05.23.11.00.41.989	 Left: 1.0 Right: 3.0
05.23.11.00.42.239	 Left: 1.0 Right: 3.0
05.23.11.00.42.489	 Left: 1.0 Right: 3.0
05.23.11.00.42.739	 Left: 1.0 Right: 3.0
05.23.11.00.42.990	 Left: 1.0 Right: 4.0
05.23.11.00.43.240	 Left: 1.0 Right: 4.0
05.23.11.00.43.490	 Left: 1.0 Right: 3.0
05.23.11.00.43.740	 Left: 1.0 Right: 3.0
05.23.11.00.43.990	 Left: 1.0 Right: 4.0
05.23.11.00.44.241	 Left: 1.0 Right: 4.0
05.23.11.00.44.491	 Left: 1.0 Right: 4.0
05.23.11.00.44.741	 Left: 1.0 Right: 4.0
05.23.11.00.44.991	 Left: 1.0 Right: 4.0
05.23.11.00.45.241	 Left: 1.0 Right: 4.0
05.23.11.00.45.491	 Left: 1.0 Right: 4.0
05.23.11.00.45.742	 Left: 1.0 Right: 3.0
05.23.11.00.45.992	 Left: 1.0 Right: 0.0
05.23.11.00.46.242	 Left: 1.0 Right: 0.0
05.23.11.00.46.492	 Left: 1.0 Right: 3.0
05.23.11.00.46.743	 Left: 1.0 Right: 4.0
05.23.11.00.46.993	 Left: 1.0 Right: 4.0
05.23.11.00.47.244	 Left: 1.0 Right: 4.0
05.23.11.00.47.494	 Left: 1.0 Right: 4.0
05.23.11.00.47.745	 Left: 1.0 Right: 4.0
05.23.11.00.47.995	 Left: 1.0 Right: 4.0
05.23.11.00.48.245	 Left: 1.0 Right: 4.0
05.23.11.00.48.495	 Left: 1.0 Right: 4.0
05.23.11.00.48.745	 Left: 1.0 Right: 4.0
05.23.11.00.48.996	 Left: 1.0 Right: 3.0
05.23.11.00.49.246	 Left: 1.0 Right: 4.0
05.23.11.00.49.496	 Left: 1.0 Right: 4.0
05.23.11.00.49.746	 Left: 1.0 Right: 4.0
05.23.11.00.49.996	 Left: 1.0 Right: 4.0
05.23.11.00.50.246	 Left: 1.0 Right: 4.0
05.23.11.00.50.497	 Left: 1.0 Right: 4.0
05.23.11.00.50.747	 Left: 1.0 Right: 4.0
05.23.11.00.50.998	 Left: 1.0 Right: 4.0
05.23.11.00.51.248	 Left: 1.0 Right: 4.0
05.23.11.00.51.498	 Left: 1.0 Right: 4.0
05.23.11.00.51.748	 Left: 1.0 Right: 4.0
05.23.11.00.51.998	 Left: 1.0 Right: 0.0
05.23.11.00.52.248	 Left: 1.0 Right: 3.0
05.23.11.00.52.499	 Left: 1.0 Right: 1.0
05.23.11.00.52.749	 Left: 1.0 Right: 1.0
05.23.11.00.52.999	 Left: 1.0 Right: 1.0
05.23.11.00.53.250	 Left: 1.0 Right: 1.0
05.23.11.00.53.500	 Left: 1.0 Right: 1.0
05.23.11.00.53.751	 Left: 1.0 Right: 1.0
05.23.11.00.54.001	 Left: 1.0 Right: 1.0
05.23.11.00.54.251	 Left: 1.0 Right: 1.0
05.23.11.00.54.501	 Left: 1.0 Right: 1.0
05.23.11.00.54.751	 Left: 1.0 Right: 1.0
05.23.11.00.55.001	 Left: 1.0 Right: 1.0
05.23.11.00.55.252	 Left: 1.0 Right: 1.0
05.23.11.00.55.502	 Left: 1.0 Right: 2.0
05.23.11.00.55.752	 Left: 1.0 Right: 2.0
05.23.11.00.56.002	 Left: 1.0 Right: 2.0
05.23.11.00.56.253	 Left: 1.0 Right: 2.0
05.23.11.00.56.504	 Left: 1.0 Right: 2.0
05.23.11.00.56.754	 Left: 1.0 Right: 2.0
05.23.11.00.57.004	 Left: 1.0 Right: 2.0
05.23.11.00.57.255	 Left: 1.0 Right: 2.0
05.23.11.00.57.505	 Left: 1.0 Right: 2.0
05.23.11.00.57.756	 Left: 1.0 Right: 2.0
05.23.11.00.58.006	 Left: 1.0 Right: 2.0
05.23.11.00.58.256	 Left: 1.0 Right: 2.0
05.23.11.00.58.507	 Left: 1.0 Right: 2.0
05.23.11.00.58.757	 Left: 1.0 Right: 2.0
05.23.11.00.59.008	 Left: 1.0 Right: 2.0
05.23.11.00.59.258	 Left: 1.0 Right: 2.0
05.23.11.00.59.508	 Left: 1.0 Right: 3.0
05.23.11.00.59.758	 Left: 1.0 Right: 0.0
05.23.11.01.00.009	 Left: 1.0 Right: 4.0
05.23.11.01.00.259	 Left: 1.0 Right: 4.0
05.23.11.01.00.510	 Left: 1.0 Right: 4.0
05.23.11.01.00.760	 Left: 1.0 Right: 4.0
05.23.11.01.01.011	 Left: 1.0 Right: 3.0
05.23.11.01.01.261	 Left: 1.0 Right: 3.0
05.23.11.01.01.511	 Left: 1.0 Right: 3.0
05.23.11.01.01.761	 Left: 1.0 Right: 3.0
05.23.11.01.02.011	 Left: 1.0 Right: 3.0
05.23.11.01.02.262	 Left: 1.0 Right: 3.0
05.23.11.01.02.512	 Left: 1.0 Right: 3.0
05.23.11.01.02.762	 Left: 1.0 Right: 3.0
05.23.11.01.03.012	 Left: 1.0 Right: 3.0
05.23.11.01.03.262	 Left: 1.0 Right: 3.0
05.23.11.01.03.512	 Left: 1.0 Right: 4.0
05.23.11.01.03.763	 Left: 1.0 Right: 4.0
05.23.11.01.04.013	 Left: 1.0 Right: 4.0
05.23.11.01.04.264	 Left: 1.0 Right: 4.0
05.23.11.01.04.515	 Left: 1.0 Right: 3.0
05.23.11.01.04.766	 Left: 1.0 Right: 4.0
05.23.11.01.05.016	 Left: 1.0 Right: 4.0
05.23.11.01.05.266	 Left: 1.0 Right: 0.0
05.23.11.01.05.516	 Left: 1.0 Right: 1.0
05.23.11.01.05.767	 Left: 1.0 Right: 1.0
05.23.11.01.06.017	 Left: 1.0 Right: 1.0
05.23.11.01.06.268	 Left: 1.0 Right: 1.0
05.23.11.01.06.518	 Left: 1.0 Right: 1.0
05.23.11.01.06.768	 Left: 1.0 Right: 1.0
05.23.11.01.07.019	 Left: 1.0 Right: 1.0
05.23.11.01.07.269	 Left: 1.0 Right: 1.0
05.23.11.01.07.520	 Left: 1.0 Right: 1.0
05.23.11.01.07.770	 Left: 1.0 Right: 1.0
05.23.11.01.08.020	 Left: 1.0 Right: 1.0
05.23.11.01.08.270	 Left: 1.0 Right: 1.0
05.23.11.01.08.521	 Left: 1.0 Right: 1.0
05.23.11.01.08.771	 Left: 1.0 Right: 1.0
05.23.11.01.09.021	 Left: 1.0 Right: 1.0
05.23.11.01.09.271	 Left: 1.0 Right: 1.0
05.23.11.01.09.522	 Left: 1.0 Right: 1.0
05.23.11.01.09.772	 Left: 1.0 Right: 1.0
05.23.11.01.10.022	 Left: 1.0 Right: 1.0
05.23.11.01.10.272	 Left: 1.0 Right: 4.0
05.23.11.01.10.522	 Left: 1.0 Right: 4.0
05.23.11.01.10.772	 Left: 1.0 Right: 4.0
05.23.11.01.11.023	 Left: 1.0 Right: 4.0
05.23.11.01.11.274	 Left: 1.0 Right: 4.0
05.23.11.01.11.524	 Left: 1.0 Right: 4.0
05.23.11.01.11.774	 Left: 1.0 Right: 4.0
05.23.11.01.12.024	 Left: 1.0 Right: 4.0
05.23.11.01.12.275	 Left: 1.0 Right: 4.0
05.23.11.01.12.525	 Left: 1.0 Right: 4.0
05.23.11.01.12.775	 Left: 1.0 Right: 4.0
05.23.11.01.13.025	 Left: 1.0 Right: 4.0
05.23.11.01.13.276	 Left: 1.0 Right: 4.0
05.23.11.01.13.527	 Left: 1.0 Right: 4.0
05.23.11.01.13.777	 Left: 1.0 Right: 4.0
05.23.11.01.14.027	 Left: 1.0 Right: 4.0
05.23.11.01.14.278	 Left: 1.0 Right: 4.0
05.23.11.01.14.529	 Left: 1.0 Right: 4.0
05.23.11.01.14.780	 Left: 1.0 Right: 4.0
05.23.11.01.15.030	 Left: 1.0 Right: 4.0
05.23.11.01.15.280	 Left: 1.0 Right: 4.0
05.23.11.01.15.531	 Left: 1.0 Right: 4.0
05.23.11.01.15.781	 Left: 1.0 Right: 3.0
05.23.11.01.16.031	 Left: 1.0 Right: 3.0
05.23.11.01.16.281	 Left: 1.0 Right: 4.0
05.23.11.01.16.532	 Left: 1.0 Right: 4.0
05.23.11.01.16.782	 Left: 1.0 Right: 4.0
05.23.11.01.17.032	 Left: 1.0 Right: 2.0
05.23.11.01.17.284	 Left: 1.0 Right: 1.0
05.23.11.01.17.534	 Left: 1.0 Right: 1.0
05.23.11.01.17.785	 Left: 1.0 Right: 1.0
05.23.11.01.18.035	 Left: 1.0 Right: 1.0
05.23.11.01.18.285	 Left: 1.0 Right: 1.0
05.23.11.01.18.536	 Left: 1.0 Right: 1.0
05.23.11.01.18.787	 Left: 1.0 Right: 1.0
05.23.11.01.19.037	 Left: 1.0 Right: 1.0
05.23.11.01.19.289	 Left: 1.0 Right: 1.0
05.23.11.01.19.539	 Left: 1.0 Right: 1.0
05.23.11.01.19.790	 Left: 1.0 Right: 1.0
05.23.11.01.20.040	 Left: 1.0 Right: 1.0
05.23.11.01.20.292	 Left: 1.0 Right: 1.0
05.23.11.01.20.543	 Left: 1.0 Right: 1.0
05.23.11.01.20.793	 Left: 1.0 Right: 1.0
05.23.11.01.21.044	 Left: 1.0 Right: 1.0
05.23.11.01.21.296	 Left: 1.0 Right: 1.0
05.23.11.01.21.546	 Left: 1.0 Right: 1.0
05.23.11.01.21.796	 Left: 1.0 Right: 1.0
05.23.11.01.22.047	 Left: 1.0 Right: 1.0
05.23.11.01.22.297	 Left: 1.0 Right: 1.0
05.23.11.01.22.548	 Left: 1.0 Right: 1.0
05.23.11.01.22.798	 Left: 1.0 Right: 1.0
05.23.11.01.23.049	 Left: 1.0 Right: 1.0
05.23.11.01.23.300	 Left: 1.0 Right: 1.0
05.23.11.01.23.550	 Left: 1.0 Right: 1.0
05.23.11.01.23.801	 Left: 1.0 Right: 1.0
05.23.11.01.24.051	 Left: 1.0 Right: 1.0
05.23.11.01.24.301	 Left: 1.0 Right: 1.0
05.23.11.01.24.552	 Left: 1.0 Right: 1.0
05.23.11.01.24.802	 Left: 1.0 Right: 1.0
05.23.11.01.25.052	 Left: 1.0 Right: 1.0
05.23.11.01.25.303	 Left: 1.0 Right: 1.0
05.23.11.01.25.553	 Left: 1.0 Right: 1.0
05.23.11.01.25.803	 Left: 1.0 Right: 1.0
05.23.11.01.26.053	 Left: 1.0 Right: 1.0
05.23.11.01.26.303	 Left: 1.0 Right: 1.0
05.23.11.01.26.554	 Left: 1.0 Right: 1.0
05.23.11.01.26.804	 Left: 1.0 Right: 1.0
05.23.11.01.27.055	 Left: 1.0 Right: 1.0
05.23.11.01.27.305	 Left: 1.0 Right: 1.0
05.23.11.01.27.555	 Left: 1.0 Right: 1.0
05.23.11.01.27.806	 Left: 1.0 Right: 1.0
05.23.11.01.28.056	 Left: 1.0 Right: 1.0
05.23.11.01.28.306	 Left: 1.0 Right: 1.0
05.23.11.01.28.556	 Left: 1.0 Right: 1.0
05.23.11.01.28.806	 Left: 1.0 Right: 1.0
05.23.11.01.29.056	 Left: 1.0 Right: 1.0
05.23.11.01.29.307	 Left: 1.0 Right: 1.0
05.23.11.01.29.557	 Left: 1.0 Right: 1.0
05.23.11.01.29.807	 Left: 1.0 Right: 1.0
05.23.11.01.30.059	 Left: 1.0 Right: 1.0
05.23.11.01.30.308	 Left: 1.0 Right: 1.0
05.23.11.01.30.558	 Left: 1.0 Right: 1.0
05.23.11.01.30.809	 Left: 1.0 Right: 1.0
05.23.11.01.31.059	 Left: 1.0 Right: 4.0
05.23.11.01.31.310	 Left: 1.0 Right: 4.0
05.23.11.01.31.560	 Left: 1.0 Right: 4.0
05.23.11.01.31.810	 Left: 1.0 Right: 4.0
05.23.11.01.32.060	 Left: 1.0 Right: 4.0
05.23.11.01.32.310	 Left: 1.0 Right: 4.0
05.23.11.01.32.560	 Left: 1.0 Right: 0.0
05.23.11.01.32.811	 Left: 1.0 Right: 3.0
05.23.11.01.33.061	 Left: 1.0 Right: 3.0
05.23.11.01.33.312	 Left: 1.0 Right: 3.0
05.23.11.01.33.562	 Left: 1.0 Right: 3.0
05.23.11.01.33.812	 Left: 1.0 Right: 3.0
05.23.11.01.34.062	 Left: 1.0 Right: 1.0
05.23.11.01.34.312	 Left: 1.0 Right: 1.0
05.23.11.01.34.562	 Left: 1.0 Right: 1.0
05.23.11.01.34.813	 Left: 1.0 Right: 1.0
