05.25.10.20.20.757	 Left: 1.0 Right: 0.0
05.25.10.20.21.008	 Left: 1.0 Right: 0.0
05.25.10.20.21.258	 Left: 1.0 Right: 0.0
05.25.10.20.21.509	 Left: 1.0 Right: 0.0
05.25.10.20.21.759	 Left: 1.0 Right: 0.0
05.25.10.20.22.010	 Left: 1.0 Right: 0.0
05.25.10.20.22.261	 Left: 1.0 Right: 0.0
05.25.10.20.22.511	 Left: 1.0 Right: 3.0
05.25.10.20.22.761	 Left: 1.0 Right: 3.0
05.25.10.20.23.012	 Left: 1.0 Right: 3.0
05.25.10.20.23.262	 Left: 1.0 Right: 3.0
05.25.10.20.23.512	 Left: 1.0 Right: 3.0
05.25.10.20.23.763	 Left: 1.0 Right: 3.0
05.25.10.20.24.013	 Left: 1.0 Right: 3.0
05.25.10.20.24.263	 Left: 1.0 Right: 3.0
05.25.10.20.24.513	 Left: 1.0 Right: 3.0
05.25.10.20.24.763	 Left: 1.0 Right: 3.0
05.25.10.20.25.014	 Left: 1.0 Right: 3.0
05.25.10.20.25.264	 Left: 1.0 Right: 3.0
05.25.10.20.25.514	 Left: 1.0 Right: 3.0
05.25.10.20.25.764	 Left: 1.0 Right: 3.0
05.25.10.20.26.014	 Left: 1.0 Right: 3.0
05.25.10.20.26.265	 Left: 1.0 Right: 3.0
05.25.10.20.26.515	 Left: 1.0 Right: 3.0
05.25.10.20.26.765	 Left: 1.0 Right: 3.0
05.25.10.20.27.015	 Left: 1.0 Right: 3.0
05.25.10.20.27.265	 Left: 1.0 Right: 3.0
05.25.10.20.27.516	 Left: 1.0 Right: 3.0
05.25.10.20.27.766	 Left: 1.0 Right: 3.0
05.25.10.20.28.016	 Left: 1.0 Right: 3.0
05.25.10.20.28.266	 Left: 1.0 Right: 3.0
05.25.10.20.28.517	 Left: 1.0 Right: 3.0
05.25.10.20.28.767	 Left: 1.0 Right: 3.0
05.25.10.20.29.017	 Left: 1.0 Right: 3.0
05.25.10.20.29.267	 Left: 1.0 Right: 3.0
05.25.10.20.29.518	 Left: 1.0 Right: 3.0
